"vOTU_id","class","order","family","genus","BS_group","SA_group","IA_group","DA_group","checkv_quality","final_strategy","MQ_or_better","representative_contig_id","representative_length_bp","BS_TPM","BS_relative_TPM","SA_TPM","SA_relative_TPM","IA_TPM","IA_relative_TPM","DA_TPM","DA_relative_TPM","class_assigned","class_raw","order_assigned","order_raw","family_assigned","family_raw","genus_assigned","genus_raw"
"vOTU0743","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Not detected","Not detected","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_804",5725,587.390715854472,0.000587390715854471,0,0,0,0,25.7012275868774,2.57012275868774e-05,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0744","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_805",5724,479.27124762732,0.000479271247627319,76.9446293518936,7.69446293518936e-05,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0745","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_806",5713,1209.95100426074,0.00120995100426074,269.824929165066,0.000269824929165066,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0746","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_807",5710,616.486737025671,0.00061648673702567,231.400016008412,0.000231400016008412,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0747","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_808",5706,959.84289711161,0.000959842897111609,77.1873785528353,7.71873785528353e-05,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0748","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_809",5705,679.07445162978,0.000679074451629779,270.203208348619,0.000270203208348619,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0280","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_81",9950,1253.06320269703,0.00125306320269703,154.925550682353,0.000154925550682353,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0749","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Rare","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_811",5703,2984.49165006878,0.00298449165006877,463.368164365702,0.000463368164365701,55.6156570142038,5.56156570142038e-05,77.4011486723869,7.74011486723868e-05,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0750","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Not detected","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_812",5694,2096.41861573925,0.00209641861573925,154.700104042412,0.000154700104042412,0,0,51.6823187697042,5.16823187697042e-05,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0751","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_813",5694,694.201105688441,0.00069420110568844,154.700104042412,0.000154700104042412,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
